CSR [11:10],CSR [9:8],CSR [7:0],Address (Hex),Privilege,Name,L71,A71/H71,Width,Fields,Field Type,Reset value,Instruction Access,"Updated by
(direct write, not via instructions)","Output to 
(direct read)",Description,Risc-V Description,Note,Group,Shadow of,Access Enable,Disable Action,Reset Impl A,Reset Impl H,Field Access,bit63,bit62,bit61,bit60,bit59,bit58,bit57,bit56,bit55,bit54,bit53,bit52,bit51,bit50,bit49,bit48,bit47,bit46,bit45,bit44,bit43,bit42,bit41,bit40,bit39,bit38,bit37,bit36,bit35,bit34,bit33,bit32,bit31,bit30,bit29,bit28,bit27,bit26,bit25,bit24,bit23,bit22,bit21,bit20,bit19,bit18,bit17,bit16,bit15,bit14,bit13,bit12,bit11,bit10,bit09,bit08,bit07,bit06,bit05,bit04,bit03,bit02,bit01,bit00,Reset Impl L,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L09,L08,L07,L06,L05,L04,L03,L02,L01,L00
00,00,00000000,0x000,URW,-,-,-,-,-,-,-,-,-,-,-,-,-,None,,-,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,00000001,0x001,URW,fflags,fflags,fflags,5,fflags[4:0],RW,0,xstatus.FS==1 ? URW: Reserved,-,PLC,"An alias of fcsr[4:0]. Can be accessed by FRFLAGS or FSFLAGS pseudoinstructions.
",Floating-Point Accrued Exceptions.,,Floating-Point,fcsr.fflags,xstatus.fs,-,0,0,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fflags,fflags,fflags,fflags,fflags,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fflags,fflags,fflags,fflags,fflags
,,00000002,0x002,URW,frm,frm,frm,3,frm[2:0],RW,0,xstatus.FS==1 ? URW: Reserved,-,FPU,An alias of fcsr[7:5]. Can be accessed by FRRM or FSRM pseudoinstructions.,Floating-Point Dynamic Rounding Mode.,,Floating-Point,fcsr.frm,xstatus.fs,-,0,0,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,frm,frm,frm,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,frm,frm,frm
,,00000003,0x003,URW,fcsr,fcsr,fcsr,32,"bit[31:8]: reserved, 
bit[7:5]: frm, 
bit[4:0]: fflags",RW,0,xstatus.FS==1 ? URW: Reserved,FPU (write fflags),FPU (read frm) & PLC,Can be accessed by FRCSR or FSCSR pseudoinstructions.,Floating-Point Control and Status Register (frm + fflags).,,Floating-Point,,xstatus.fs,-,"{0,0}","{0,0}",Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,frm,frm,frm,fflags,fflags,fflags,fflags,fflags,"{0,0}",wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,frm,frm,frm,fflags,fflags,fflags,fflags,fflags
,,...,...,URW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00001000,0x008,URW,vstart,-,vstart (misa.V==1),clog2(VLEN),vstart[clog2(VLEN)-1:0],RW,0,misa.V==1 & xstatus.VS==1 ? URW: Reserved,-,VPU,"Not available for L71.
Written by hardware on a trap on a vector instruction - vset(i)vl(i)",Vector start position (index). https://github.com/riscv/riscv-v-spec/blob/master/v-spec.adoc#vector-control-and-status-register-vcsr,"Spec: RISC-V ""V"" Vector Extension",Vector,,mstatus.vs & misa.v,-,0,0,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vstart,vstart,vstart,vstart,vstart,vstart,vstart,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vstart,vstart,vstart,vstart,vstart,vstart,vstart
,,00001001,0x009,URW,vxsat,-,vxsat (misa.V==1),1,bit[0]: vxsat,RW,0,misa.V==1 & mstatus.VS==1 ? URW: Reserved,-,-,"Not available for L71.
Should be reset by SW before use.",Fixed-Point Saturate Flag,"Spec: RISC-V ""V"" Vector Extension",Vector,vcsr.vxsat,mstatus.vs & misa.v,-,0,0,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vxsat,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vxsat
,,00001010,0x00a,URW,vxrm,-,vxrm (misa.V==1),2,"bit[xLEN-1:2]: 0, 
bit[1:0]: vxrm",RW,0,misa.V==1 & mstatus.VS==1 ? URW: Reserved,-,VPU,"Not available for L71.
Should be reset by SW before use.",Fixed-Point Rounding Mode,"Spec: RISC-V ""V"" Vector Extension",Vector,vcsr.vxrm,mstatus.vs & misa.v,-,0,0,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vxrm,vxrm,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vxrm,vxrm
,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,00001111,0x00f,URW,vcsr,-,vcsr (misa.V==1),3,"bit[2:1]: vxrm[1:0], 
bit[0]: vxsat",RW,0,misa.V==1 & mstatus.VS==1 ? URW: Reserved,VPU (write vxsat),VPU (read vxrm),"Not available for L71.
Should be reset by SW before use.",Vector control and status register,"Spec: RISC-V ""V"" Vector Extension",Vector,,mstatus.vs & misa.v,-,"{0,0}","{0,0}",Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vxrm,vxrm,vxsat,"{0,0}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vxrm,vxrm,vxsat
